Acid Name	Formula	Ka
Acetic acid	HC₂H₃O₂	1.8×10⁻⁵    l
Acrylic acid	HC₃H₃O₂	5.5×10⁻⁵
Aluminum 3+ ion	Al³⁺	1.4×10⁻⁵
Ammonium ion	NH₄⁺	5.6×10⁻¹⁰
Anilinium ion	C₆H₅NH₃⁺	1.4×10⁻⁵
Arsenic acid (H₃AsO₄)	H₃AsO₄	6.0×10⁻³
Arsenic acid (H₂AsO₄⁻)	H₂AsO₄⁻	1.0×10⁻⁷
Arsenic acid (HAsO₄²⁻)	HAsO₄²⁻	3.2×10⁻¹²
Arsenous acid	H₃AsO₃	6.6×10⁻¹⁰
Ascorbic acid (H₂C₆H₆O₆)	H₂C₆H₆O₆	6.8×10⁻⁵
Ascorbic acid (HC₆H₆O₆⁻)	HC₆H₆O₆⁻	2.8×10⁻¹²
Bromoacetic acid	HC₂H₂BrO₂	1.3×10⁻³
Benzoic acid	HC₇H₅O₂	6.3×10⁻⁵
Beryllium 2+ ion	Be²⁺	3×10⁻⁷
Boric acid	H₃BO₃	5.9×10⁻¹⁰
Butyric acid	HC₄H₇O₂	1.5×10⁻⁵
Carbonic acid (H₂CO₃)	H₂CO₃	4.4×10⁻⁷
Carbonic acid (HCO₃⁻)	HCO₃⁻	4.7×10⁻¹¹
Chloroacetic acid	HC₂H₂ClO₂	1.4×10⁻³
Chlorous acid	HClO₂	1.1×10⁻²
Chromic acid (H₂CrO₄)	H₂CrO₄	1.5×10⁻¹
Chromic acid (HCrO₄⁻)	HCrO₄⁻	3.2×10⁻⁷
Chromium 3+ ion	Cr³⁺	6.6×10⁻⁴
Citric acid (H₃C₆H₅O₇)	H₃C₆H₅O₇	7.4×10⁻⁴
Citric acid (H₂C₆H₅O₇⁻)	H₂C₆H₅O₇⁻	1.7×10⁻⁵
Citric acid (HC₆H₅O₇²⁻)	HC₆H₅O₇²⁻	4.0×10⁻⁷
Cobalt 2+ ion	Co²⁺	1.3×10⁻⁹
Codeine ammonium ion	HC₁₈H₂₁O₃N⁺	1.1×10⁻⁸
Cyanic acid	HOCN	3.5×10⁻⁴
Dichloroacetic acid	HC₂HCl₂O₂	5.5×10⁻²
Diethylammonium ion	(C₂H₅)₂NH₂⁺	1.4×10⁻¹¹
Dimethylammonium ion	(CH₃)₂NH₂⁺	1.7×10⁻¹¹
Ethylammonium ion	C₂H₅NH₃⁺	2.3×10⁻¹¹
Ethylenediammonium ion	NH₂CH₂CH₂NH₃⁺	1.9×10⁻¹¹
Fluoroacetic acid	HC₂H₂FO₂	2.6×10⁻³
Formic acid	HCHO₂	1.8×10⁻⁴
Hydrazinium ion	N₂H₅⁺	1.2×10⁻⁸
Hydrazoic acid	HN₃	1.9×10⁻⁵
Hydrocyanic acid	HCN	6.2×10⁻¹⁰
Hydrofluoric acid	HF	6.6×10⁻⁴
Hydrogen peroxide	H₂O₂	2.2×10⁻¹²
Hydrogen selenate ion	HSeO₄⁻	2.2×10⁻²
Hydrogen sulfate ion	HSO₄⁻	1.1×10⁻²
